Unnamed: 0,distance,following_x,front_x,frame,front_speed,following_speed,front_id,following_id,front_width,following_width,front_class,following_class,front_feature,following_feature,front_class_encoded,following_class_encoded,driving_style
0,47.75999999999999,0.0,0.0,1242,24.50000000000045,21.999999999999886,62,64,11.93,4.35,Truck,Car,,,1,0,1
1,47.81999999999999,0.9300000000000068,0.9900000000000092,1243,24.750000000000227,23.25000000000017,62,64,11.93,4.35,Truck,Car,,,1,0,1
2,47.85000000000002,1.8899999999999864,1.9800000000000184,1244,24.750000000000227,23.99999999999949,62,64,11.93,4.35,Truck,Car,,,1,0,1
3,47.870000000000005,2.849999999999966,2.9599999999999795,1245,24.499999999999037,23.99999999999949,62,64,11.93,4.35,Truck,Car,,,1,0,1
4,47.88999999999999,3.819999999999993,3.9499999999999886,1246,24.750000000000227,24.25000000000068,62,64,11.93,4.35,Truck,Car,,,1,0,1
5,47.88999999999999,4.810000000000002,4.939999999999998,1247,24.750000000000227,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
6,47.88000000000005,5.7999999999999545,5.920000000000016,1248,24.50000000000045,24.749999999998806,62,64,11.93,4.35,Truck,Car,,,1,0,1
7,47.88,6.779999999999973,6.899999999999977,1249,24.499999999999037,24.50000000000045,62,64,11.93,4.35,Truck,Car,,,1,0,1
8,47.88999999999999,7.759999999999991,7.889999999999986,1250,24.750000000000227,24.50000000000045,62,64,11.93,4.35,Truck,Car,,,1,0,1
9,47.89999999999998,8.75,8.889999999999986,1251,25.0,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
10,47.90999999999997,9.740000000000007,9.889999999999986,1252,25.0,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
11,47.910000000000025,10.72999999999996,10.879999999999995,1253,24.750000000000227,24.749999999998806,62,64,11.93,4.35,Truck,Car,,,1,0,1
12,47.910000000000025,11.71999999999997,11.870000000000005,1254,24.750000000000227,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
13,47.89999999999998,12.70999999999998,12.849999999999966,1255,24.499999999999037,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
14,47.88,13.699999999999989,13.819999999999991,1256,24.25000000000068,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
15,47.870000000000005,14.689999999999998,14.800000000000011,1257,24.50000000000045,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
16,47.85999999999996,15.680000000000009,15.779999999999973,1258,24.499999999999037,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
17,47.860000000000014,16.66999999999996,16.769999999999982,1259,24.750000000000227,24.749999999998806,62,64,11.93,4.35,Truck,Car,,,1,0,1
18,47.85000000000002,17.659999999999968,17.75,1260,24.50000000000045,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
19,47.84000000000003,18.659999999999968,18.74000000000001,1261,24.750000000000227,25.0,62,64,11.93,4.35,Truck,Car,,,1,0,1
20,47.83000000000004,19.659999999999968,19.730000000000015,1262,24.750000000000227,25.0,62,64,11.93,4.35,Truck,Car,,,1,0,1
21,47.81999999999999,20.649999999999977,20.70999999999998,1263,24.499999999999037,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
22,47.81,21.649999999999977,21.69999999999999,1264,24.750000000000227,25.0,62,64,11.93,4.35,Truck,Car,,,1,0,1
23,47.81,22.629999999999995,22.680000000000007,1265,24.50000000000045,24.50000000000045,62,64,11.93,4.35,Truck,Car,,,1,0,1
24,47.82000000000005,23.60999999999996,23.670000000000016,1266,24.750000000000227,24.499999999999037,62,64,11.93,4.35,Truck,Car,,,1,0,1
25,47.81999999999999,24.59999999999997,24.659999999999968,1267,24.749999999998806,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
26,47.81,25.58999999999997,25.639999999999983,1268,24.50000000000045,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
27,47.80000000000001,26.579999999999984,26.620000000000005,1269,24.50000000000045,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
28,47.81,27.569999999999997,27.620000000000005,1270,25.0,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
29,47.81,28.549999999999955,28.59999999999997,1271,24.499999999999037,24.499999999999037,62,64,11.93,4.35,Truck,Car,,,1,0,1
30,47.81,29.539999999999964,29.58999999999997,1272,24.750000000000227,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
31,47.81999999999999,30.519999999999985,30.579999999999984,1273,24.750000000000227,24.50000000000045,62,64,11.93,4.35,Truck,Car,,,1,0,1
32,47.829999999999984,31.50999999999999,31.579999999999984,1274,25.0,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
33,47.81999999999999,32.5,32.56,1275,24.50000000000045,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
34,47.81999999999999,33.49000000000001,33.55000000000001,1276,24.750000000000227,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
35,47.81999999999999,34.47999999999996,34.539999999999964,1277,24.749999999998806,24.749999999998806,62,64,11.93,4.35,Truck,Car,,,1,0,1
36,47.81,35.46999999999997,35.51999999999998,1278,24.50000000000045,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
37,47.80000000000001,36.45999999999998,36.5,1279,24.50000000000045,24.750000000000227,62,64,11.93,4.35,Truck,Car,,,1,0,1
