,front_id,following_id,feature
0,6.0,7,0
1,12.0,18,0
2,18.0,21,0
3,24.0,27,2
4,29.0,33,2
5,33.0,35,2
6,34.0,36,2
7,60.0,62,2
8,62.0,63,2
9,62.0,64,0
10,66.0,67,0
11,67.0,71,0
12,71.0,72,0
13,72.0,73,0
14,73.0,75,0
15,72.0,78,0
16,77.0,80,0
17,81.0,86,0
18,88.0,92,0
19,92.0,96,0
20,100.0,104,0
21,103.0,105,0
22,109.0,114,0
23,117.0,119,0
24,119.0,121,0
25,120.0,122,0
26,122.0,123,0
27,125.0,127,0
28,125.5065445026178,130,2
29,135.0,136,2
30,136.0,138,2
31,143.0,144,2
32,144.0,146,0
33,148.0,150,2
34,169.0,170,0
35,173.0,174,0
36,185.0,188,2
37,191.0,196,2
38,205.0,208,0
39,204.9214195183777,210,0
40,210.0,215,0
41,215.0,217,2
42,222.0,225,2
43,225.0,227,0
44,225.0,229,2
45,227.0,230,1
46,230.0,231,1
47,232.0,235,1
48,238.0,240,1
49,244.0,249,1
50,249.0,254,1
51,254.0,257,1
52,257.0,259,1
53,255.0,260,1
54,259.0,262,1
55,263.0,265,1
56,266.52713178294573,269,0
